| S.No | Skip List Time | Set Time | Closeness (%) |
|------|----------------|----------|---------------|
| 1    | 0.004975       | 0.005103 | 97.496938     |
| 2    | 0.002148       | 0.001906 | 88.705004     |
| 3    | 0.002082       | 0.001954 | 93.870052     |
| 4    | 0.001915       | 0.001712 | 89.397111     |
| 5    | 0.002046       | 0.001711 | 83.658821     |
| 6    | 0.001922       | 0.002033 | 94.556270     |
| 7    | 0.001996       | 0.001966 | 98.455071     |
| 8    | 0.002359       | 0.001670 | 70.789373     |
| 9    | 0.001826       | 0.001799 | 98.498460     |
| 10   | 0.002116       | 0.001968 | 93.013427     |
| 11   | 0.002965       | 0.001973 | 66.547470     |
| 12   | 0.002379       | 0.001941 | 81.602257     |
| 13   | 0.002025       | 0.002427 | 83.423577     |
| 14   | 0.002490       | 0.001787 | 71.777405     |
| 15   | 0.001909       | 0.002181 | 87.541620     |
| 16   | 0.002014       | 0.002081 | 96.769938     |
| 17   | 0.002143       | 0.002034 | 94.920751     |
| 18   | 0.001974       | 0.001948 | 98.658746     |
| 19   | 0.002159       | 0.001834 | 84.935928     |
| 20   | 0.002114       | 0.001708 | 80.778890     |
| 21   | 0.001912       | 0.001886 | 98.664957     |
| 22   | 0.002029       | 0.001632 | 80.408637     |
| 23   | 0.002335       | 0.002087 | 89.375483     |
| 24   | 0.002009       | 0.002032 | 98.899316     |
| 25   | 0.001966       | 0.002705 | 72.669846     |
| 26   | 0.001951       | 0.002383 | 81.841983     |
| 27   | 0.002142       | 0.001736 | 81.055028     |
| 28   | 0.001785       | 0.001931 | 92.442587     |
| 29   | 0.002372       | 0.001735 | 73.162025     |
| 30   | 0.002651       | 0.002308 | 87.057612     |
| 31   | 0.002707       | 0.001897 | 70.093484     |
| 32   | 0.002616       | 0.001829 | 69.940752     |
| 33   | 0.001888       | 0.001816 | 96.200105     |
| 34   | 0.002041       | 0.002641 | 77.277923     |
| 35   | 0.001937       | 0.001866 | 96.317878     |
| 36   | 0.002230       | 0.001898 | 85.126387     |
| 37   | 0.002231       | 0.001860 | 83.388312     |
| 38   | 0.002239       | 0.001762 | 78.703663     |
| 39   | 0.001922       | 0.002389 | 80.463048     |
| 40   | 0.001996       | 0.001957 | 98.034414     |
| 41   | 0.002115       | 0.002048 | 96.825217     |
| 42   | 0.002589       | 0.001894 | 73.165956     |
| 43   | 0.001959       | 0.001829 | 93.380788     |
